tidspunkt,id,handling,fra,til,note
2026-09-24T15:09:01+02:00,k-way1028929626,sat type,,flydebro,
2026-09-24T15:09:01+02:00,k-way1028929626,sat koordinater,,"56.1975681, 10.6728337",
2026-09-24T15:09:01+02:00,k-way1028929626,sat begrundelse,,"Flydebro (35 m) i Ebeltoft Museumshavn (ved Fregatten Jylland). Stort, beskyttet bassin med dybt vand og få både. Tjek havnens regler.",
2026-09-24T15:09:01+02:00,k-way1210759488,sat vurdering,,lovende,
2026-09-24T15:09:01+02:00,k-way1210759488,sat type,,badebro,
2026-09-24T15:09:01+02:00,k-way1210759488,sat koordinater,,"56.0216382, 9.9267321",
2026-09-24T15:09:01+02:00,k-way1210759488,sat begrundelse,,"Søbad/vinterbad ved Skanderborg Sø med lang bro (ca. 75 m fast + flydende del i OSM). Åbent vand, men kan være vindudsat.",
2026-09-24T15:09:01+02:00,k-way1461482213,sat vurdering,,måske,
2026-09-24T15:09:01+02:00,k-way1461482213,sat type,,flydebro,
2026-09-24T15:09:01+02:00,k-way1461482213,sat koordinater,,"56.1149216, 9.4958068",
2026-09-24T15:09:01+02:00,k-way1461482213,sat begrundelse,,"Badested med lille flydebro ved Gjessø, men søen er lille (ca. 150 m) og ser ud til at have meget grøn vækst.",
2026-09-24T15:09:01+02:00,k-way165181333,sat vurdering,,måske,
2026-09-24T15:09:01+02:00,k-way165181333,sat type,,bro,
2026-09-24T15:09:01+02:00,k-way165181333,sat koordinater,,"55.9112588, 10.6440731",
2026-09-24T15:09:01+02:00,k-way165181333,sat begrundelse,,"Samsø Ro- og Kajakklub ved Langør Havn med bro ud i Stavns Fjord. Beskyttet vand, men ser lavt ud (lyst sandbund).",
2026-09-24T15:09:01+02:00,k-way487646319,sat vurdering,,måske,
2026-09-24T15:09:01+02:00,k-way487646319,sat type,,flydebro,
2026-09-24T15:09:01+02:00,k-way487646319,sat koordinater,,"56.1518063, 10.2505593",
2026-09-24T15:09:01+02:00,k-way487646319,sat begrundelse,,"Flydebro (67 m) i beskyttet bassin ved den tidligere vandflyveplads på Aarhus Ø. Adgang/tilladelse uklar, tæt på færgehavnen.",
2026-09-24T15:09:59+02:00,k-way979398306,sat vurdering,,lovende,
2026-09-24T15:09:59+02:00,k-way979398306,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-way979398306,sat koordinater,,"56.5227173, 9.5968077",
2026-09-24T15:09:59+02:00,k-way979398306,sat begrundelse,,"Stor flydeponton (ca. 15×30 m) ved bådudlejning/lejrplads på Tjele Langsø. Går ud forbi plantebæltet langs bredden til mørkt, dybt vand.",
2026-09-24T15:09:59+02:00,k-node11125618127,sat vurdering,,måske,
2026-09-24T15:09:59+02:00,k-node11125618127,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-node11125618127,sat koordinater,,"56.5206894, 10.2249986",
2026-09-24T15:09:59+02:00,k-node11125618127,sat begrundelse,,"Små flydebroer (7–13 m) ved Mellerup Færgeleje på en lang mole ud i Randers Fjord. Åbent vand, men færgetrafik og mulig strøm.",
2026-09-24T15:09:59+02:00,k-node11985904714,sat vurdering,,måske,
2026-09-24T15:09:59+02:00,k-node11985904714,sat type,,bro,
2026-09-24T15:09:59+02:00,k-node11985904714,sat koordinater,,"55.9110035, 10.2543086",
2026-09-24T15:09:59+02:00,k-node11985904714,sat begrundelse,,"Hou Kajak Klub ligger midt i en tæt pakket lystbådehavn. Klubben har sikkert en lav bro/slæbested, men der er lidt plads mellem bådene.",
2026-09-24T15:09:59+02:00,k-node12451134673,sat vurdering,,nej,
2026-09-24T15:09:59+02:00,k-node12451134673,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-node12451134673,sat begrundelse,,Kanolejrplads med lille flydebro på Gudenåen (ca. 45 m bred) med strøm og kanotrafik.,
2026-09-24T15:09:59+02:00,k-node12451307122,sat vurdering,,nej,
2026-09-24T15:09:59+02:00,k-node12451307122,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-node12451307122,sat begrundelse,,Kanolejrplads (Kjællinghøl) med flydebro på Gudenåen (ca. 50 m bred) med strøm og kanotrafik.,
2026-09-24T15:09:59+02:00,k-node12465038473,sat vurdering,,lovende,
2026-09-24T15:09:59+02:00,k-node12465038473,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-node12465038473,sat koordinater,,"56.1714961, 9.5793524",
2026-09-24T15:09:59+02:00,k-node12465038473,sat begrundelse,,Flydebro (72 m) ud gennem plantebæltet til dybt vand på Silkeborg Langsø. Stor sø med læ. Tjek adgang.,
2026-09-24T15:09:59+02:00,k-node9767117205,sat vurdering,,måske,
2026-09-24T15:09:59+02:00,k-node9767117205,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-node9767117205,sat koordinater,,"56.4558903, 10.0344674",
2026-09-24T15:09:59+02:00,k-node9767117205,sat begrundelse,,"Lange flydebroer (32 m og 97 m) på Gudenåen midt i Randers ved Randers Regnskov. Åen er ca. 100 m bred her, men har strøm og en jernbanebro tæt ved.",
2026-09-24T15:09:59+02:00,k-way1010491705,sat vurdering,,måske,
2026-09-24T15:09:59+02:00,k-way1010491705,sat type,,flydebro,
2026-09-24T15:09:59+02:00,k-way1010491705,sat koordinater,,"56.0301032, 9.4879074",
2026-09-24T15:09:59+02:00,k-way1010491705,sat begrundelse,,"Lille flydebro (18 m) ved en større institution/lejrskole ved en skovsø nær Vesterhåb. Dybt, roligt vand, men adgang er uklar.",
2026-09-24T15:11:00+02:00,k-way1085741302,sat vurdering,,måske,
2026-09-24T15:11:00+02:00,k-way1085741302,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1085741302,sat koordinater,,"56.1527636, 10.6877942",
2026-09-24T15:11:00+02:00,k-way1085741302,sat begrundelse,,"Flydebro ved boligområdet Ebeltoft Øer med roligt lagunevand, men området er sandsynligvis privat (beboernes bådpladser).",
2026-09-24T15:11:00+02:00,k-way1104805047,sat vurdering,,måske,
2026-09-24T15:11:00+02:00,k-way1104805047,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1104805047,sat koordinater,,"56.1719725, 9.5430517",
2026-09-24T15:11:00+02:00,k-way1104805047,sat begrundelse,,"Flydebro (34 m) på en halvø i Silkeborg Langsø ud til dybere vand, men der er meget grøn vækst langs bredden.",
2026-09-24T15:11:00+02:00,k-way1113008429,sat vurdering,,nej,
2026-09-24T15:11:00+02:00,k-way1113008429,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1113008429,sat begrundelse,,Færgelejet i Sælvig Havn (Samsø) – broen er til færgen.,
2026-09-24T15:11:00+02:00,k-way1131989855,sat vurdering,,lovende,
2026-09-24T15:11:00+02:00,k-way1131989855,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1131989855,sat koordinater,,"56.1700246, 9.5461114",
2026-09-24T15:11:00+02:00,k-way1131989855,sat begrundelse,,"Offentlig flydebro (19 m) ved promenaden i Silkeborg by ud i Silkeborg Langsø. Dybt vand og masser af plads, men turbådstrafik.",
2026-09-24T15:11:00+02:00,k-way1206798472,sat vurdering,,måske,
2026-09-24T15:11:00+02:00,k-way1206798472,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1206798472,sat koordinater,,"56.4472852, 9.4136446",
2026-09-24T15:11:00+02:00,k-way1206798472,sat begrundelse,,"Små flydebroer (6–7 m) ved en institution ved Viborg Søndersø. Stor, dyb sø, men adgang er uklar.",
2026-09-24T15:11:00+02:00,k-way1210750801,sat vurdering,,måske,
2026-09-24T15:11:00+02:00,k-way1210750801,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1210750801,sat koordinater,,"56.0189721, 9.8989806",
2026-09-24T15:11:00+02:00,k-way1210750801,sat begrundelse,,"Lang flydebro (62 m) ved Vrold. Luftfotoet er fra vinter med is på søen, så vand og dybde kan ikke vurderes.",
2026-09-24T15:11:00+02:00,k-way1216068925,sat vurdering,,nej,
2026-09-24T15:11:00+02:00,k-way1216068925,sat type,,andet,
2026-09-24T15:11:00+02:00,k-way1216068925,sat begrundelse,,OSM-objektet ligger i en baggård midt i Aarhus – der er ikke noget vand.,
2026-09-24T15:11:00+02:00,k-way1224502551,sat vurdering,,nej,
2026-09-24T15:11:00+02:00,k-way1224502551,sat type,,flydebro,
2026-09-24T15:11:00+02:00,k-way1224502551,sat begrundelse,,"Lille flydebro (4 m) skjult under træer ved en skovsø nær Løndal. For lille, og sandsynligvis privat eller til fiskeri.",
2026-09-24T15:11:56+02:00,k-way1246254253,sat vurdering,,måske,
2026-09-24T15:11:56+02:00,k-way1246254253,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way1246254253,sat koordinater,,"56.1588198, 10.2168406",
2026-09-24T15:11:56+02:00,k-way1246254253,sat begrundelse,,"Flydebro (38 m) i en smal kanal (ca. 35 m) mellem bygningerne på Aarhus Ø, med forbindelse til havnebassinet.",
2026-09-24T15:11:56+02:00,k-way1273625636,sat vurdering,,lovende,
2026-09-24T15:11:56+02:00,k-way1273625636,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way1273625636,sat koordinater,,"56.1540265, 10.2153083",
2026-09-24T15:11:56+02:00,k-way1273625636,sat begrundelse,,"Lang flydebro (95 m) langs kajen ved Dokk1 i Aarhus inderhavn. Stort, beskyttet og dybt bassin. Tjek havnens regler og bådtrafik.",
2026-09-24T15:11:56+02:00,k-way1358368775,sat vurdering,,nej,
2026-09-24T15:11:56+02:00,k-way1358368775,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way1358368775,sat begrundelse,,Lille flydebro (6 m) i en landsbydam (ca. 50 m) i Feldballe. Alt for lille.,
2026-09-24T15:11:56+02:00,k-way1461482211,sat vurdering,,måske,
2026-09-24T15:11:56+02:00,k-way1461482211,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way1461482211,sat koordinater,,"56.1137091, 9.4963529",
2026-09-24T15:11:56+02:00,k-way1461482211,sat begrundelse,,Flydebro (51 m) og en lille ponton midt i søen ved Gjessø. Søen er lille (ca. 150–200 m) med meget grøn vækst. Samme sø som Gjersø Nord.,
2026-09-24T15:11:56+02:00,k-way623355681,sat vurdering,,nej,
2026-09-24T15:11:56+02:00,k-way623355681,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way623355681,sat begrundelse,,Korte flydebro-fingre mellem bådene i den sydlige del af Egå Marina. Tæt pakket. Roklubbens spot (på kortet) ligger ca. 250 m mod nord.,
2026-09-24T15:11:56+02:00,k-way876243683,sat vurdering,,måske,
2026-09-24T15:11:56+02:00,k-way876243683,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way876243683,sat koordinater,,"56.1526648, 10.2144313",
2026-09-24T15:11:56+02:00,k-way876243683,sat begrundelse,,Flydebroer (16–17 m) på sydsiden af Dokk1 ved Aarhus Å's udløb. Bassinet er mindre og tæt på en bro og en kanal.,
2026-09-24T15:11:56+02:00,k-way903714667,sat vurdering,,måske,
2026-09-24T15:11:56+02:00,k-way903714667,sat type,,flydebro,
2026-09-24T15:11:56+02:00,k-way903714667,sat koordinater,,"56.1750787, 9.5883786",
2026-09-24T15:11:56+02:00,k-way903714667,sat begrundelse,,"Flydebro (38 m) gennem rørskoven til dybt vand på Silkeborg Langsø, men den ligger ved Silkeborg rensningsanlæg.",
2026-09-24T15:11:56+02:00,k-node4591728061,sat vurdering,,nej,
2026-09-24T15:11:56+02:00,k-node4591728061,sat type,,bro,
2026-09-24T15:11:56+02:00,k-node4591728061,sat begrundelse,,Kanoudlejning ved Aarhus Å i Mølleparken. Åen er kun ca. 10 m bred.,
2026-09-24T15:12:58+02:00,k-way1302746439,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-way1302746439,sat type,,andet,
2026-09-24T15:12:58+02:00,k-way1302746439,sat begrundelse,,Lille dam (ca. 150 m) med en ø ved Hegedal. Der er ingen synlig bro.,
2026-09-24T15:12:58+02:00,k-way388804314,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-way388804314,sat type,,slæbested,
2026-09-24T15:12:58+02:00,k-way388804314,sat begrundelse,,Kanoopsamlingsplads ved Kongensbro på Gudenåen (ca. 40 m bred) med strøm.,
2026-09-24T15:12:58+02:00,k-node12946590618,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-node12946590618,sat type,,andet,
2026-09-24T15:12:58+02:00,k-node12946590618,sat begrundelse,,Kano- og shelterplads ved et smalt vandløb (ca. 10 m) ved Nim.,
2026-09-24T15:12:58+02:00,k-node13283191791,sat vurdering,,lovende,
2026-09-24T15:12:58+02:00,k-node13283191791,sat type,,bro,
2026-09-24T15:12:58+02:00,k-node13283191791,sat koordinater,,"56.0242506, 9.9042948",
2026-09-24T15:12:58+02:00,k-node13283191791,sat begrundelse,,Kajakklub ved Vrold med en 79 m lang bro og en platform for enden ud i en stor sø.,
2026-09-24T15:12:58+02:00,k-way1055356670,sat vurdering,,måske,
2026-09-24T15:12:58+02:00,k-way1055356670,sat type,,flydebro,
2026-09-24T15:12:58+02:00,k-way1055356670,sat koordinater,,"56.1752580, 9.5319112",
2026-09-24T15:12:58+02:00,k-way1055356670,sat begrundelse,,"Kajakpolobane med flydende gangbroer i Sølystparken (samme område som k-node12462905430). Grønt vand, som kan være lavt eller have planter.",
2026-09-24T15:12:58+02:00,k-way1368848451,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-way1368848451,sat type,,bro,
2026-09-24T15:12:58+02:00,k-way1368848451,sat begrundelse,,Kajakhotel ved Aarhus Å. Åen er kun ca. 10 m bred.,
2026-09-24T15:12:58+02:00,k-way65973881,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-way65973881,sat type,,andet,
2026-09-24T15:12:58+02:00,k-way65973881,sat begrundelse,,Kanoteltplads ved en smal del af Gudenåen (ca. 30 m) med strøm.,
2026-09-24T15:12:58+02:00,k-node10570927403,sat vurdering,,nej,
2026-09-24T15:12:58+02:00,k-node10570927403,sat type,,andet,
2026-09-24T15:12:58+02:00,k-node10570927403,sat begrundelse,,"Padel-tennis (Pakhus77), ikke kajak – fejl i søgningen, som nu er rettet.",
2026-09-24T15:13:53+02:00,k-node11987760389,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-node11987760389,sat type,,andet,
2026-09-24T15:13:53+02:00,k-node11987760389,sat begrundelse,,Kanogården ved Hvornum er en gård/kanoudlejning uden vand på stedet.,
2026-09-24T15:13:53+02:00,k-node12450602714,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-node12450602714,sat type,,andet,
2026-09-24T15:13:53+02:00,k-node12450602714,sat begrundelse,,Kanolejrplads ved Gudenåen nær Alling uden synlig bro. Kun bred mellem træerne.,
2026-09-24T15:13:53+02:00,k-node13854313811,sat vurdering,,lovende,
2026-09-24T15:13:53+02:00,k-node13854313811,sat type,,badebro,
2026-09-24T15:13:53+02:00,k-node13854313811,sat koordinater,,"56.1520793, 9.5426229",
2026-09-24T15:13:53+02:00,k-node13854313811,sat begrundelse,,"Vestre Søbad (Silkeborg) med to ringformede badebroer ud i en dyb, mørk skovsø. Masser af plads rundt om ringene.",
2026-09-24T15:13:53+02:00,k-node3315493044,sat vurdering,,lovende,
2026-09-24T15:13:53+02:00,k-node3315493044,sat type,,badebro,
2026-09-24T15:13:53+02:00,k-node3315493044,sat koordinater,,"56.3339655, 9.5761890",
2026-09-24T15:13:53+02:00,k-node3315493044,sat begrundelse,,"Tange Søbad/vinterbad med en 41 m lang bro ud i Tange Sø. Stor sø med dybt, mørkt vand.",
2026-09-24T15:13:53+02:00,k-node7187223502,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-node7187223502,sat type,,andet,
2026-09-24T15:13:53+02:00,k-node7187223502,sat begrundelse,,Kano- og pedalbåde inde i Djurs Sommerland (forlystelsespark).,
2026-09-24T15:13:53+02:00,k-node9652884184,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-node9652884184,sat type,,andet,
2026-09-24T15:13:53+02:00,k-node9652884184,sat begrundelse,,"Padelcenter, ikke kajak – fejl i søgningen, som nu er rettet.",
2026-09-24T15:13:53+02:00,k-relation18469565,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-relation18469565,sat type,,andet,
2026-09-24T15:13:53+02:00,k-relation18469565,sat begrundelse,,"Kano- og kajakrute (hele Gudenå-ruten), ikke et sted. Ruter sorteres nu fra i søgningen.",
2026-09-24T15:13:53+02:00,k-relation18473955,sat vurdering,,nej,
2026-09-24T15:13:53+02:00,k-relation18473955,sat type,,andet,
2026-09-24T15:13:53+02:00,k-relation18473955,sat begrundelse,,"Kano- og kajakrute (Nørreå), ikke et sted. Ruter sorteres nu fra i søgningen.",
2026-09-24T15:14:49+02:00,k-way1098071408,sat vurdering,,nej,
2026-09-24T15:14:49+02:00,k-way1098071408,sat type,,andet,
2026-09-24T15:14:49+02:00,k-way1098071408,sat begrundelse,,"Dyrhøj kanonstilling er en gammel kanonstilling, ikke kano – fejl i søgningen, som nu er rettet.",
2026-09-24T15:14:49+02:00,k-way1233522680,sat vurdering,,nej,
2026-09-24T15:14:49+02:00,k-way1233522680,sat type,,andet,
2026-09-24T15:14:49+02:00,k-way1233522680,sat begrundelse,,"Padel-tennis, ikke kajak – fejl i søgningen, som nu er rettet.",
2026-09-24T15:14:49+02:00,k-way255007997,sat vurdering,,måske,
2026-09-24T15:14:49+02:00,k-way255007997,sat type,,strand,
2026-09-24T15:14:49+02:00,k-way255007997,sat koordinater,,"56.1175011, 10.2284652",
2026-09-24T15:14:49+02:00,k-way255007997,sat begrundelse,,"Kajakklubben Viking ved stranden i Højbjerg (Aarhus Bugt). Ingen bro på luftfotoet, kun strand – mest til beach- eller jumpstart.",
2026-09-24T15:14:49+02:00,k-way286588886,sat vurdering,,måske,
2026-09-24T15:14:49+02:00,k-way286588886,sat type,,strand,
2026-09-24T15:14:49+02:00,k-way286588886,sat koordinater,,"55.9763134, 10.2535648",
2026-09-24T15:14:49+02:00,k-way286588886,sat begrundelse,,Odder Roklub ligger i sommerhusområdet ved Saksild Strand. Ingen bro på luftfotoet. Tjek om klubben sætter en sæsonbro ud.,
2026-09-24T15:14:49+02:00,k-way512140100,sat vurdering,,nej,
2026-09-24T15:14:49+02:00,k-way512140100,sat type,,andet,
2026-09-24T15:14:49+02:00,k-way512140100,sat begrundelse,,Kanorasteplads ved et smalt vandløb (øvre Gudenå) nær Bredvadmølle.,
2026-09-24T15:14:49+02:00,k-way635558206,sat vurdering,,nej,
2026-09-24T15:14:49+02:00,k-way635558206,sat type,,andet,
2026-09-24T15:14:49+02:00,k-way635558206,sat begrundelse,,"Padel-tennis, ikke kajak – fejl i søgningen, som nu er rettet.",
2026-09-24T15:14:49+02:00,k-way89697309,sat vurdering,,måske,
2026-09-24T15:14:49+02:00,k-way89697309,sat type,,strand,
2026-09-24T15:14:49+02:00,k-way89697309,sat koordinater,,"56.1258591, 10.2168259",
2026-09-24T15:14:49+02:00,k-way89697309,sat begrundelse,,"Marselisborg Kajak Club ved stranden syd for Aarhus. Ingen tydelig bro på luftfotoet, kun strand og små høfder.",
2026-09-24T15:14:49+02:00,k-way956028975,sat vurdering,,lovende,
2026-09-24T15:14:49+02:00,k-way956028975,sat type,,badebro,
2026-09-24T15:14:49+02:00,k-way956028975,sat koordinater,,"56.5394439, 9.6554232",
2026-09-24T15:14:49+02:00,k-way956028975,sat begrundelse,,Bigum Søbad/vinterbad med en 61 m lang bro ud forbi rørskoven til åbent vand i en stor sø.,
2026-09-24T15:16:06+02:00,k-way97089886,sat vurdering,,nej,
2026-09-24T15:16:06+02:00,k-way97089886,sat type,,andet,
2026-09-24T15:16:06+02:00,k-way97089886,sat begrundelse,,"Vejnavn (Kajakvej) i et sommerhusområde – fejl i søgningen, som nu er rettet.",
2026-09-24T15:16:06+02:00,k-node8647487065,sat vurdering,,lovende,
2026-09-24T15:16:06+02:00,k-node8647487065,sat type,,badebro,
2026-09-24T15:16:06+02:00,k-node8647487065,sat koordinater,,"56.2576091, 9.4883010",
2026-09-24T15:16:06+02:00,k-node8647487065,sat begrundelse,,"Hinge Søbad/vinterbad med broer (19 m og 27 m) og badeplatform ud i Hinge Sø. Mørkt, dybt vand og en skovkant, der giver læ.",
2026-09-24T15:16:06+02:00,k-way1027655360,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-way1027655360,sat type,,badebro,
2026-09-24T15:16:06+02:00,k-way1027655360,sat koordinater,,"56.1900958, 10.6668043",
2026-09-24T15:16:06+02:00,k-way1027655360,sat begrundelse,,"Havbadet Ebeltoft Skudehavn med en 77 m lang bro ud forbi molen til åben bugt. Klart, dybt vand, men udsat for vind og bølger.",
2026-09-24T15:16:06+02:00,k-way1063419644,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-way1063419644,sat type,,badebro,
2026-09-24T15:16:06+02:00,k-way1063419644,sat koordinater,,"56.1281821, 9.5574445",
2026-09-24T15:16:06+02:00,k-way1063419644,sat begrundelse,,"Thorsøbadet (vinterbad) med en 22 m lang bro ud i Thorsø i Silkeborg. Mørkt vand, men søen er lille (ca. 300 m) og der er mange private broer rundt om.",
2026-09-24T15:16:06+02:00,k-node10814063246,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-node10814063246,sat type,,andet,
2026-09-24T15:16:06+02:00,k-node10814063246,sat koordinater,,"56.1636222, 10.2247015",
2026-09-24T15:16:06+02:00,k-node10814063246,sat begrundelse,,"Vinterbadeklub ved et rundt bassin på Aarhus Ø. Beskyttet havnevand, men ingen tydelig lav bro på luftfotoet. Tjek havnebadets forhold.",
2026-09-24T15:16:06+02:00,k-node11013955253,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-node11013955253,sat type,,bro,
2026-09-24T15:16:06+02:00,k-node11013955253,sat koordinater,,"56.2213801, 10.7409963",
2026-09-24T15:16:06+02:00,k-node11013955253,sat begrundelse,,"Dråby Strand ved campingpladsen med en 55 m lang bro ud i Ebeltoft Vig. Åbent, lavt og klart vand – bølger ved vind.",
2026-09-24T15:16:06+02:00,k-node13907934389,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-node13907934389,sat type,,bro,
2026-09-24T15:16:06+02:00,k-node13907934389,sat koordinater,,"55.9492902, 10.4531279",
2026-09-24T15:16:06+02:00,k-node13907934389,sat begrundelse,,"Tunø Bådehavn: lange broer (167 m og 210 m) i et lille, beskyttet havnebassin. Badestranden ved siden af har ingen bro.",
2026-09-24T15:16:06+02:00,k-node13980034108,sat vurdering,,måske,
2026-09-24T15:16:06+02:00,k-node13980034108,sat type,,bro,
2026-09-24T15:16:06+02:00,k-node13980034108,sat koordinater,,"56.4677453, 9.4329908",
2026-09-24T15:16:06+02:00,k-node13980034108,sat begrundelse,,"Nørresø (Viborg) med en 57 m lang bro med vinkel for enden. Luftfotoet viser grøn overflade, måske alger eller planter.",
2026-09-24T15:16:55+02:00,k-node13994954895,sat vurdering,,måske,
2026-09-24T15:16:55+02:00,k-node13994954895,sat type,,bro,
